name,smiles
DB05528,COCCOC1C(O)C(COP(O)(=S)OC2C(COP(O)(=S)OC3C(COP(O)(=S)OC4C(COP(O)(=S)OC5C(COP(O)(=S)OC6CC(n7cc(C)c(=N)nc7O)OC6COP(O)(=S)OC6CC(n7cc(C)c(O)nc7=O)OC6COP(O)(=S)OC6CC(n7cc(C)c(O)nc7=O)OC6COP(O)(=S)OC6CC(n7cc(C)c(=N)nc7O)OC6COP(O)(=S)OC6CC(n7cnc8c(O)nc(=N)[nH]c87)OC6COP(O)(=S)OC6CC(n7cc(C)c(O)nc7=O)OC6COP(O)(=S)OC6CC(n7cc(C)c(=N)nc7O)OC6COP(O)(=S)OC6CC(n7cc(C)c(O)nc7=O)OC6COP(O)(=S)OC6CC(n7cnc8c(O)nc(=N)[nH]c87)OC6COP(O)(=S)OC6CC(n7cnc8c(N)ncnc87)OC6COP(O)(=S)OC6C(COP(O)(=S)OC7C(COP(O)(=S)OC8C(COP(O)(=S)OC9C(COP(O)(=S)OC%10C(CO)OC(n%11cnc%12c(O)nc(=N)[nH]c%12%11)C%10OCCOC)OC(n%10cc(C)c(=N)nc%10O)C9OCCOC)OC(n9cc(C)c(=N)nc9O)C8OCCOC)OC(n8cc(C)c(O)nc8=O)C7OCCOC)OC(n7cc(C)c(=N)nc7O)C6OCCOC)OC(n6cnc7c(O)nc(=N)[nH]c76)C5OCCOC)OC(n5cc(C)c(=N)nc5O)C4OCCOC)OC(n4cnc5c(N)ncnc54)C3OCCOC)OC(n3cc(C)c(=N)nc3O)C2OCCOC)OC1n1cc(C)c(=N)nc1O
DB00091,CC=CCC(C)C(O)C1C(=O)NC(CC)C(=O)N(C)CC(=O)N(C)C(CC(C)C)C(=O)NC(C(C)C)C(=O)N(C)C(CC(C)C)C(=O)NC(C)C(=O)NC(C)C(=O)N(C)C(CC(C)C)C(=O)N(C)C(CC(C)C)C(=O)N(C)C(C(C)C)C(=O)N1C
DB03053,NC1(P(=O)([O-])O)CC1
DB00336,NC(=O)NN=Cc1ccc([N+](=O)[O-])o1
DB03842,C=C1C=CC=C(C)C1N
DB01663,CC1=CC2=C3C=C(CCCCCCCCC(=O)NC4C5CC6CC(C5)CC4C6)C=CN3[Ru+2]34(N5C=CC=CC5=C5C=CC=CN53)(N3C=CC=CC3=C3C=CC=CN34)N2C=C1
DB09270,COC1=C(OC)C(=O)C(CC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)C)=C(C)C1=O
DB02894,CC1(C)OC2C3OS(=O)(=O)OC3COC2(COS(N)(=O)=O)O1
DB00560,CN(C)c1cc(NC(=O)CNC(C)(C)C)c(O)c2c1CC1CC3C(N(C)C)C(O)=C(C(N)=O)C(=O)C3(O)C(O)=C1C2=O
DB03814,O=S(=O)([O-])CC[NH+]1CCOCC1
DB03816,NC(CCSC(F)F)C(=O)O
DB00995,CCP(CC)(CC)=[Au]SC1OC(COC(C)=O)C(OC(C)=O)C(OC(C)=O)C1OC(C)=O
DB06705,O=C([O-])CN(CCN(CC(=O)[O-])CC(COP(=O)([O-])OC1CCC(c2ccccc2)(c2ccccc2)CC1)N(CC(=O)[O-])CC(=O)[O-])CC(=O)[O-].[Gd+3].[Na+].[Na+].[Na+]
DB01633,[O-]C1OC(CO)C(OC2OC(CO)C(OC3OC(CO)C(O)C(O)C3O)C(O)C2O)C(O)C1F
DB03302,O=C1OCc2c(Cl)c(Cl)c(Cl)c(Cl)c21
DB09513,NC(N)=O
DB08427,O=C(O)C(=O)CC1(C(=O)O)C=CC(O)C=C1
DB03758,CC1CC2OC2CCCCC(=O)CC2C(Cl)C(=O)CC(=O)C2C(=O)O1
DB07001,CCCC1COc2ccsc2C(=N)N1
DB09333,CN(C)C=Nc1c(I)cc(I)c(CCC(=O)O)c1I
DB00464,CCCCC(CC)CCC(CC(C)C)OS(=O)(=O)[O-].[Na+]
DB06901,C=CCC(C=O)C1CCCC1O
DB00922,CC1CC(=O)NN=C1c1ccc(NN=C(C#N)C#N)cc1
DB04504,NC1CCC=NC1
DB00274,COC1(NC(=O)CSCC#N)C(=O)N2C(C(=O)O)=C(CSc3nnnn3C)CSC21
DB00975,OCCN(CCO)c1nc(N2CCCCC2)c2nc(N(CCO)CCO)nc(N3CCCCC3)c2n1
DB01135,COc1cc(CC2c3c(cc(OC)c(OC)c3OC)CC[N+]2(C)CCCOC(=O)CCC(=O)OCCC[N+]2(C)CCc3cc(OC)c(OC)c(OC)c3C2Cc2cc(OC)c(OC)c(OC)c2)cc(OC)c1OC.[Cl-].[Cl-]
DB00325,N#C[Fe-2](C#N)(C#N)(C#N)(C#N)N=O
DB01828,CN
DB02108,N=CCN
DB05025,[O-][n+]1cccc(C(Cl)=NOCC(O)CN2CCCCC2)c1
DB05630,O.O.O.O.O.O.O.O.O.O=C([O-])C1O[Sb]2([O-])(O[Sb]34(O)OC(C(=O)[O-])C(O3)C(C(O)CO)O4)OC(C(O)CO)C1O2.[Na+].[Na+].[Na+]
DB09157,O=C=O
DB05817,CNC(=O)N(N(CCCl)S(C)(=O)=O)S(C)(=O)=O
DB05381,Cl.Cl.NCCc1cnc[nH]1
DB02975,CNC(=O)CC1NC(=O)c2csc(n2)-c2ccc(-c3nc(C4=NC(C(=O)N5CCCC5C(N)=O)CO4)cs3)nc2-c2csc(n2)-c2csc(n2)C(C(O)c2ccccc2)NC(=O)CNC(=O)c2nc(sc2COC)C(C(C)C)NC(=O)c2nc1sc2C
DB01703,O=C1CCC(=O)N1CCC12C3=C4C5=C1[Fe]45321678C2=C1C6C7=C28
DB05885,CCC(C(N)=O)N1CC(C=C(F)F)CC1=O
DB01710,C1=CC2=[N+]3C1=Cc1ccc4n1[Fe+3]31n3c(ccc3=CC3=[N+]1C(=C4)C=C3)=C2
DB08966,CC(=C(CCO)SSCC1CCCO1)N(C=O)Cc1cnc(C)[nH]c1=N
DB04409,O=S(=O)([O-])c1ccc2c(S(=O)(=O)[O-])cc(S(=O)(=O)[O-])cc2c1
DB02617,CCCCCCC(O)(Cn1ccnc1)c1ccc(Cl)cc1Cl
DB07894,O=P(O)(O)C=CCCSc1cc(F)ccc1O
DB09138,O.O.O=P([O-])([O-])CP(=O)([O-])[O-].[Tc+4]
DB07092,CN(C)C(=O)C(C1CCC(c2ccc3ncnn3c2)CC1)C(N)C(=O)N1CCC(F)(F)C1
DB04741,COC(=CC(N)=O)C(C)C(C=Cc1csc(-c2csc(C(C)C=CC=CC(C)C)n2)n1)OC
DB01028,COC(F)(F)C(Cl)Cl
DB02245,Nc1nc2c(c(=O)[nH]1)CC=N2
DB02757,c1cn[nH]c1
DB07949,O=C(O)CON=C1C2=CC=CCC2=NC1=C1C(=O)N=C2CC=CC=C21
DB00226,NC(N)=NCC1COC2(CCCCC2)O1
DB01942,O=CO
DB03961,CC1(CO)OP(=O)(O)OP(=O)(O)OCC1O
DB06706,CNC(C)CCC=C(C)C
DB01322,COC1=CC(=O)OC(C=CC2=CCCC=C2)C1
DB07073,CC1(C)CC(=O)c2sc(N3CCOCC3)nc2C1
DB01987,Cc1ncc(C[n+]2csc(CCOP(=O)(O)OP(=O)([O-])O)c2C)c(N)n1
DB02871,CCCCC1CCS(=O)C1
DB06742,Nc1c(Br)cc(Br)cc1CNC1CCC(O)CC1
DB01971,O=C(O)C=Cc1c[nH]cn1
DB05229,CC#CCC(C)C(O)C=CC1C(O)CC2Oc3c(CCCC(=O)[O-])cccc3C21.[Na+]
DB01090,C[N+]1(CCCCC[N+]2(C)CCCC2)CCCC1
