ID,SA
CHEMBL53805,2600.000000
CHEMBL303199,2700.000000
CHEMBL177462,3400.000000
CHEMBL3144578,3800.000000
CHEMBL356843,4000.000000
CHEMBL64891,4400.000000
CHEMBL332103,4700.000000
CHEMBL8562,5000.000000
CHEMBL59756,5000.000000
CHEMBL274642,5000.000000
CHEMBL64458,5000.000000
CHEMBL425860,5500.000000
CHEMBL369848,6200.000000
CHEMBL84750,6300.000000
CHEMBL444828,6400.000000
CHEMBL417557,6900.000000
CHEMBL91004,7000.000000
CHEMBL12809,8000.000000
CHEMBL302394,9100.000000
CHEMBL112733,9600.000000
CHEMBL55620,10000.000000
CHEMBL112720,10000.000000
CHEMBL301136,11000.000000
CHEMBL151608,12000.000000
CHEMBL148850,13800.000000
CHEMBL173009,14900.000000
CHEMBL3144586,15000.000000
CHEMBL3144583,17000.000000
CHEMBL412905,20000.000000
CHEMBL3144714,26000.000000
CHEMBL3144717,26000.000000
CHEMBL52,30000.000000
CHEMBL12371,32000.000000
CHEMBL12395,32000.000000
CHEMBL287012,40400.000000
CHEMBL35209,50000.000000
CHEMBL8260,50000.000000
CHEMBL93670,50000.000000
CHEMBL162115,76000.000000
CHEMBL3144574,94000.000000
CHEMBL64822,100000.000000
CHEMBL302208,100000.000000
CHEMBL3144718,280000.000000
CHEMBL307484,1000000.000000
CHEMBL75646,1000000.000000
CHEMBL73348,1000000.000000
CHEMBL65325,1.000000
CHEMBL1626563,11.000000
CHEMBL64585,30.000000
CHEMBL367010,60.000000
CHEMBL122377,100.000000
CHEMBL876,100.000000
CHEMBL175153,110.000000
CHEMBL302441,200.000000
CHEMBL298672,270.000000
CHEMBL62693,400.000000
CHEMBL6,500.000000
CHEMBL302879,500.000000
CHEMBL48568,650.000000
CHEMBL174922,690.000000
CHEMBL302838,700.000000
CHEMBL542941,730.000000
CHEMBL175995,750.000000
CHEMBL63546,800.000000
CHEMBL64396,800.000000
CHEMBL12302,1500.000000
CHEMBL94361,1500.000000
CHEMBL353553,1600.000000
CHEMBL417022,1700.000000
CHEMBL349233,2000.000000
CHEMBL175150,2100.000000
CHEMBL48814,4600.000000
CHEMBL418514,5400.000000
CHEMBL173009,5500.000000
CHEMBL33734,7400.000000
CHEMBL54453,9000.000000
CHEMBL151847,9000.000000
CHEMBL292707,10000.000000
CHEMBL275445,10000.000000
CHEMBL356014,11500.000000
CHEMBL17937,11900.000000
CHEMBL3144716,13000.000000
CHEMBL62817,14000.000000
CHEMBL16827,16000.000000
CHEMBL3144577,18000.000000
CHEMBL151987,30000.000000
CHEMBL35209,33000.000000
CHEMBL94042,50000.000000
CHEMBL81939,100000.000000
CHEMBL296006,200000.000000
CHEMBL46912,200000.000000
CHEMBL43141,200000.000000
CHEMBL44365,200000.000000
CHEMBL8747,300000.000000
CHEMBL3144579,300000.000000
CHEMBL294100,1.000000
CHEMBL303092,1.000000
CHEMBL64507,2.500000
CHEMBL1908355,10.000000
CHEMBL509,100.000000
CHEMBL509,100.000000
CHEMBL28700,100.000000
CHEMBL174684,140.000000
CHEMBL16048,160.000000
CHEMBL64858,200.000000
CHEMBL298672,270.000000
CHEMBL290797,400.000000
CHEMBL62616,480.000000
CHEMBL285763,500.000000
CHEMBL34698,500.000000
CHEMBL301586,510.000000
CHEMBL54156,700.000000
CHEMBL1626562,800.000000
CHEMBL274642,800.000000
CHEMBL828,940.000000
CHEMBL176945,1700.000000
CHEMBL60790,2600.000000
CHEMBL44957,3000.000000
CHEMBL55620,3000.000000
CHEMBL7660,3000.000000
CHEMBL146786,3400.000000
CHEMBL60993,3400.000000
CHEMBL60499,3500.000000
CHEMBL316040,4200.000000
CHEMBL146701,4600.000000
CHEMBL60165,6200.000000
CHEMBL295008,7000.000000
CHEMBL295243,7100.000000
CHEMBL300637,7100.000000
CHEMBL149451,7400.000000
CHEMBL64304,7500.000000
CHEMBL173939,9400.000000
CHEMBL284297,10000.000000
CHEMBL553275,10000.000000
CHEMBL34207,10000.000000
CHEMBL368546,12100.000000
CHEMBL310833,13400.000000
CHEMBL101,15000.000000
CHEMBL3144573,21000.000000
CHEMBL359369,30000.000000
CHEMBL8612,31000.000000
CHEMBL60949,37000.000000
CHEMBL287012,40000.000000
CHEMBL92299,50000.000000
CHEMBL329606,50000.000000
CHEMBL94220,50000.000000
CHEMBL273584,50000.000000
CHEMBL73295,50000.000000
CHEMBL8425,50000.000000
CHEMBL35425,50000.000000
CHEMBL60498,100000.000000
CHEMBL538059,100000.000000
CHEMBL47165,200000.000000
CHEMBL73205,1000000.000000
