CMPD_CHEMBLID;CANONICAL_SMILES;STANDARD_VALUE
CHEMBL12594;CON1CC\C(=C/c2cc(c(O)c(c2)C(C)(C)C)C(C)(C)C)\C1=O;1000
CHEMBL295829;COc1ccc2c(c1)c(CC(=O)NO)c(C)n2C(=O)c3ccc(Cl)cc3;1100
CHEMBL150170;Cc1cc(on1)\C=C\c2cc(C)c(O)c(C)c2;1200
CHEMBL173939;COc1ccc(cc1)n2nc(cc2c3ccc(C)cc3)C#CC(C)N(O)C(=O)N;1400
CHEMBL417022;Cc1ccc(Cl)c(Nc2ccccc2c3nnc(S)s3)c1Cl;1750
CHEMBL6;COc1ccc2c(c1)c(CC(=O)O)c(C)n2C(=O)c3ccc(Cl)cc3;1800
CHEMBL316040;COc1ccc(cc1)n2nc(CCC(=O)N(C)O)cc2c3ccc(Cl)cc3;2850
CHEMBL35178;Brc1c2OC(=O)Cc2ccc1C3CCCCC3;3000
CHEMBL61065;Cc1cnc(NC(=O)C2C(=O)N3c4ccccc4CCc5cccc2c35)s1;3600
CHEMBL542464;Cl.C\N=C(/N)\Nc1nc(ns1)c2cc(c(O)c(c2)C(C)(C)C)C(C)(C)C;4400
CHEMBL94851;CC(C)(C)c1cc(\C=C\c2nnc(S)s2)cc(c1O)C(C)(C)C;5200
CHEMBL12234;CC(C)(C)c1cc(cc(c1O)C(C)(C)C)c2n[nH]c(O)n2;5500
CHEMBL17344;FC(F)(F)S(=O)(=O)Nc1cccc(OCc2ccc3ccccc3n2)c1;9100
CHEMBL286450;O=C1Cc2ccc(cc2O1)C3CCCC3;10000
CHEMBL151433;CC(C)c1cc(\C=C\c2onc(C)c2)cc(C(C)C)c1O;10000
CHEMBL176668;COc1ccc(cc1)n2nc(cc2c3ccc(Cl)cc3)C#CC(C(C)C)N(O)C(=O)N;14500
CHEMBL304663;Fc1ccc(NC(=O)C2C(=O)N3CCCc4cc(F)cc2c34)c(F)c1;15000
CHEMBL65535;CN(O)C(=O)c1ccccc1Nc2c(Cl)ccc(C)c2Cl;15000
CHEMBL149945;Cc1cc(on1)\C=C\c2cc(Br)c(O)c(Br)c2;16000
CHEMBL42593;COc1ccc2c(c1)c(CN(O)C(=O)N)c(C)n2C(=O)c3ccc(Cl)cc3;20000
CHEMBL162358;CCCc1c(O)c(ccc1OCCCCc2nnn[nH]2)C(=O)C;44000
CHEMBL413482;CCOC(=O)C1=CC=C(Sc2ccccc2)C(=O)O1;50000
CHEMBL316996;CCO\C(=C(/SCC)\C=CC(=O)C(=O)OCC)\O;50000
CHEMBL92758;CCO\C(=C(/Sc1ccccc1)\C=CC=O)\O;50000
CHEMBL3144720;Cc1ncccc1CN2Nc3ccccc3C2=O;58000
CHEMBL74825;CCOC(=O)Cc1cccc(C(=O)c2ccc(Cl)cc2)c1N;73000
CHEMBL64342;Cc1cc(NC(=O)C2C(=O)N3CCCc4cc(F)cc2c34)sn1;100000
CHEMBL64051;Cc1cccc(NC(=O)C2C(=O)N3c4ccccc4Cc5cccc2c35)n1;100000
CHEMBL307591;Nc1c(CCO)cccc1C(=O)c2ccccc2;100000
CHEMBL267473;OC(=O)c1ccc(OCCn2ccnc2)cc1;100000
CHEMBL165090;Cc1nc(oc1COC(C)(C)C(=O)O)c2ccc(Cl)cc2;300000
