name,HA,HD,mw,lp,tpsa,rb,ha
CHEMBL204835,7,4,411.531000,3.345500,110.000000,7,29
CHEMBL294324,12,4,678.771000,3.085500,176.410000,12,46
CHEMBL426905,7,4,512.683000,4.791700,101.620000,10,37
CHEMBL3319400,9,2,574.128000,5.207900,113.400000,10,38
CHEMBL3218907,9,0,514.630000,3.709720,87.300000,7,38
CHEMBL381159,7,3,425.558000,3.369800,101.210000,7,30
CHEMBL212415,7,5,445.548000,4.267500,116.150000,8,32
CHEMBL3218908,8,0,437.544000,2.790220,74.410000,6,32
CHEMBL205784,7,5,441.535000,4.645500,108.310000,9,33
CHEMBL249659,8,3,537.627000,5.929500,104.280000,8,41
CHEMBL207754,7,5,425.558000,3.522100,123.990000,7,30
CHEMBL394179,7,4,506.654000,4.329400,84.550000,9,38
CHEMBL3319279,8,2,493.010000,3.781100,108.470000,6,32
CHEMBL205896,8,5,500.628000,3.886300,127.230000,7,36
CHEMBL400175,8,2,542.643000,5.515900,97.720000,10,41
CHEMBL3218915,9,0,550.610000,4.445020,87.300000,8,40
CHEMBL425594,8,5,489.601000,4.040400,133.220000,9,35
CHEMBL3319211,8,2,480.999000,3.637000,108.470000,7,31
CHEMBL1082044,7,5,460.644000,4.716600,113.320000,12,32
CHEMBL2164507,5,2,515.268000,5.734100,61.440000,5,32
CHEMBL240522,9,5,565.722000,3.143000,105.810000,11,42
CHEMBL1079046,7,4,474.671000,5.119800,99.330000,13,33
CHEMBL2163454,16,12,768.920000,1.000500,259.660000,19,56
CHEMBL3580668,8,2,606.730000,6.863500,97.720000,11,46
CHEMBL374643,9,5,575.717000,5.220100,126.640000,11,43
CHEMBL399652,7,2,557.698000,6.489300,76.990000,12,42
CHEMBL3319225,11,2,602.142000,3.508500,129.530000,8,40
CHEMBL3586020,8,2,539.661000,5.751700,90.300000,9,39
CHEMBL2163443,18,12,793.886000,0.542900,282.550000,17,58
CHEMBL205847,8,6,412.519000,2.043000,136.020000,7,29
CHEMBL2163460,19,13,900.058000,1.566400,295.340000,21,66
CHEMBL207792,8,6,488.617000,3.613400,136.020000,9,35
CHEMBL206673,7,4,487.629000,4.915900,110.000000,9,35
CHEMBL363021,6,1,508.490000,6.142800,67.600000,9,34
